Date,Precipitation
1951-01-31,5.790047216579112
1951-02-28,4.782596909074853
1951-03-31,6.118846418958061
1951-04-30,6.039508740115769
1951-05-31,6.781297401538587
1951-06-30,9.356089942212446
1951-07-31,11.430798680669872
1951-08-31,10.379784687816564
1951-09-30,8.054183795788365
1951-10-31,6.941710781086009
1951-11-30,8.205403476601502
1951-12-31,6.410965357491329
1952-01-31,6.711746131391812
1952-02-29,4.388156419846778
1952-03-31,5.623869641304661
1952-04-30,5.4874158076424475
1952-05-31,7.3300371714576995
1952-06-30,9.467152422602089
1952-07-31,12.22194299600952
1952-08-31,10.58011952592892
1952-09-30,8.919090988635302
1952-10-31,8.060869158512743
1952-11-30,5.434150081791656
1952-12-31,6.798775478498383
1953-01-31,4.855299449566765
1953-02-28,5.35701088758959
1953-03-31,7.36393819777468
1953-04-30,5.215186177575735
1953-05-31,7.6106996953504735
1953-06-30,10.790311690286464
1953-07-31,12.94662778622076
1953-08-31,11.846262769954492
1953-09-30,9.552898507393433
1953-10-31,8.488528055862016
1953-11-30,6.894957478982771
1953-12-31,4.503415512180106
1954-01-31,6.739221216202206
1954-02-28,6.71043874232256
1954-03-31,4.353721195961859
1954-04-30,6.150726084030888
1954-05-31,7.489793095060201
1954-06-30,9.54188503279143
1954-07-31,12.194841760007057
1954-08-31,10.562779360422523
1954-09-30,10.91091206771769
1954-10-31,8.809850571903205
1954-11-30,4.0802322052484365
1954-12-31,6.3093369712312155
1955-01-31,5.103236462925823
1955-02-28,2.9379794297794875
1955-03-31,6.35828633782471
1955-04-30,5.678027671032736
1955-05-31,7.566408105132921
1955-06-30,10.009046969754085
1955-07-31,11.603946784406146
1955-08-31,11.946378608424832
1955-09-30,9.514602960571578
1955-10-31,9.732677368252867
1955-11-30,7.937807987340676
1955-12-31,5.6072094656211116
1956-01-31,4.404187675762015
1956-02-29,3.8186904403005717
1956-03-31,5.950494041448939
1956-04-30,6.588704973938106
1956-05-31,8.798401160301532
1956-06-30,11.652303037709205
1956-07-31,12.973564861200868
1956-08-31,10.9516033325299
1956-09-30,9.609368008979892
1956-10-31,9.63942802783546
1956-11-30,7.611507470780292
1956-12-31,4.092367586315175
1957-01-31,6.60267963775534
1957-02-28,4.382165117289591
1957-03-31,4.152425004035856
1957-04-30,5.418487110934942
1957-05-31,7.141016810740796
1957-06-30,7.950730001589523
1957-07-31,12.69855586535646
1957-08-31,11.36451413322095
1957-09-30,7.708986548377509
1957-10-31,7.091667063878676
1957-11-30,8.286799710996096
1957-12-31,11.195901444627307
1958-01-31,4.482510322725064
1958-02-28,5.079478632600972
1958-03-31,4.38533867017197
1958-04-30,5.6834008745187825
1958-05-31,8.033906217699407
1958-06-30,6.768884642660722
1958-07-31,12.986373120653804
1958-08-31,12.186188898892793
1958-09-30,9.74409540327929
1958-10-31,8.760439103245306
1958-11-30,6.498469127984263
1958-12-31,6.097959155785784
1959-01-31,5.679707114754894
1959-02-28,5.558703029334188
1959-03-31,4.965999117853347
1959-04-30,5.455889564652897
1959-05-31,8.191533954221912
1959-06-30,9.871382519883403
1959-07-31,13.499794116651533
1959-08-31,11.021589801750073
1959-09-30,10.601599795282084
1959-10-31,8.347861679548219
1959-11-30,8.014841184455282
1959-12-31,5.95322323727136
1960-01-31,4.632733489536178
1960-02-29,5.178597683944658
1960-03-31,5.2841704916365355
1960-04-30,5.004814029405207
1960-05-31,6.4042379004505765
1960-06-30,8.670073429872597
1960-07-31,12.875637829023184
1960-08-31,10.712561153772121
1960-09-30,9.843317800626346
1960-10-31,7.562040797245522
1960-11-30,8.841127594830164
1960-12-31,4.317546196695839
1961-01-31,6.372873164802586
1961-02-28,4.6307990831548675
1961-03-31,5.503942396821789
1961-04-30,5.211656553143528
1961-05-31,6.748733317888888
1961-06-30,11.103019247704676
1961-07-31,12.59476165762976
1961-08-31,11.45387164617457
1961-09-30,10.326286041064247
1961-10-31,9.037755111214835
1961-11-30,6.256694937005573
1961-12-31,5.714346433511427
1962-01-31,4.432017837347142
1962-02-28,3.5118270708848036
1962-03-31,3.2608049133493062
1962-04-30,4.049950971408355
1962-05-31,5.581360542089224
1962-06-30,7.838342327560999
